CNPJ do Administrador (Agente de Registro),CNPJ do,Prestador de Serviço é o Gestor do Fundo (S/N),CNPJ DA CARTEIRA,CNPJ do Pagador pelos Serviços da CERC,Trading Name, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.776.087/0001-35,13.776.087/0001-35,V4 FIDC NP - AÇÕES JUDICIAIS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.805.152/0001-03,13.805.152/0001-03,PUMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.807.406/0001-22,13.807.406/0001-22,B8 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.842.701/0001-10,13.842.701/0001-10,NEW TRADE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,13.974.813/0001-24,13.974.813/0001-24,G5 BRJUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,14.038.410/0001-36,14.038.410/0001-36,G5 MIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,14.042.458/0001-18,14.042.458/0001-18,FEDERAL 4870 IAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,14.051.028/0001-62,14.051.028/0001-62,FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS DA INDÚSTRIA EXODUS INSTITUCIONAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,14.180.196/0001-58,14.180.196/0001-58,JC DIVERSIFICADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,14.364.744/0001-08,14.364.744/0001-08,CAPITAL FORTE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,14.481.752/0001-26,14.481.752/0001-26,BERTOLUCCI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,14.718.674/0001-30,14.718.674/0001-30,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL JGM LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,14.770.038/0001-58,14.770.038/0001-58,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTIPLIX MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,15.653.649/0001-89,15.653.649/0001-89,AURUM - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,15.675.220/0001-92,15.675.220/0001-92,MP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,17.213.074/0001-09,17.213.074/0001-09,CENTRUM - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL NAO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,17.468.142/0001-80,17.468.142/0001-80,VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,17.498.285/0001-35,17.498.285/0001-35,RAIZES FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,17.498.356/0001-08,17.498.356/0001-08,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BULLLA, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.152.158/0001-42,18.152.158/0001-42,BCR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.185.812/0001-14,18.185.812/0001-14,GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.387.112/0001-02,18.387.112/0001-02,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS ONIX PRIME, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.392.964/0001-98,18.392.964/0001-98,FIDUSSIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.563.847/0001-40,18.563.847/0001-40,LIBRA II NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.593.058/0001-51,18.593.058/0001-51,ZKR NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.675.887/0001-83,18.675.887/0001-83,SUPERNOVA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.677.046/0001-05,18.677.046/0001-05,BRASPOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,18.911.897/0001-70,18.911.897/0001-70,SPREAD INVESTIMENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.153.705/0001-77,19.153.705/0001-77,CREDERE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.187.286/0001-94,19.187.286/0001-94,RUBI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.187.295/0001-85,19.187.295/0001-85,VECTOR NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.388.423/0001-59,19.388.423/0001-59,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IOSAN, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.390.746/0001-87,19.390.746/0001-87,ATLAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.425.573/0001-95,19.425.573/0001-95,FINANÇA NP - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.425.700/0001-56,19.425.700/0001-56,RDF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.599.487/0001-07,19.599.487/0001-07,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ZIPDIN I, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,19.932.422/0001-23,19.932.422/0001-23,SBK CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIA, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.093.858/0001-55,20.093.858/0001-55,IB SIGMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,20.460.014/0001-03,20.460.014/0001-03,FLOWINVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
