CNPJ do Administrador (Agente de Registro),CNPJ do,Prestador de Serviço é o Gestor do Fundo (S/N),CNPJ DA CARTEIRA,CNPJ do Pagador pelos Serviços da CERC,Trading Name, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.659.408/0001-30,30.659.408/0001-30,PER FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.687.481/0001-16,30.687.481/0001-16,IRIDIUM CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,30.791.358/0001-40,30.791.358/0001-40,G5 SAÚDE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.024.386/0001-03,31.024.386/0001-03,GAVEA OPEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.216.756/0001-04,31.216.756/0001-04,GREEN AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.368.600/0001-30,31.368.600/0001-30,DSX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.771.948/0001-74,31.771.948/0001-74,VLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.772.126/0001-08,31.772.126/0001-08,IRLA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.844.721/0001-01,31.844.721/0001-01,PONTUAL BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.881.591/0001-87,31.881.591/0001-87,3B FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.881.619/0001-86,31.881.619/0001-86,OPTACRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.894.563/0001-02,31.894.563/0001-02,BELSINOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.894.591/0001-11,31.894.591/0001-11,RIO CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,31.933.790/0001-91,31.933.790/0001-91,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS INVISTA ATIVOS ALTERNATIVOS I, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.156.038/0001-44,32.156.038/0001-44,SUN CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.162.586/0001-87,32.162.586/0001-87,GC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.202.903/0001-41,32.202.903/0001-41,MATRIZ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.240.412/0001-95,32.240.412/0001-95,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS ESPORTES, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.273.345/0001-05,32.273.345/0001-05,PSS ABSOLUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.316.919/0001-85,32.316.919/0001-85,CASE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.316.940/0001-80,32.316.940/0001-80,FINANZI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.388.130/0001-30,32.388.130/0001-30,PCS II BT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃOPADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.388.135/0001-62,32.388.135/0001-62,MULTIAGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.388.168/0001-02,32.388.168/0001-02,SERRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.388.169/0001-57,32.388.169/0001-57,CANAL 47 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.388.171/0001-26,32.388.171/0001-26,UNIQUE AAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.388.176/0001-59,32.388.176/0001-59,BOMTRATO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.388.184/0001-03,32.388.184/0001-03,PSS PRINCIPAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.388.193/0001-96,32.388.193/0001-96,PSS KYROS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.510.444/0001-63,32.510.444/0001-63,G5 EO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.510.527/0001-52,32.510.527/0001-52,CANAL 56 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.510.577/0001-30,32.510.577/0001-30,MULTIPLICA LONG TERM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.510.621/0001-01,32.510.621/0001-01,MANI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.511.268/0001-84,32.511.268/0001-84,PREMIER RP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.517.659/0001-06,32.517.659/0001-06,AMB FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.526.025/0001-10,32.526.025/0001-10,COBUCCIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.771.763/0001-22,32.771.763/0001-22,SÃO MARTINHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.907.653/0001-45,32.907.653/0001-45,CROWN OCEAN CAPITAL IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.907.712/0001-85,32.907.712/0001-85,ALIANÇA CRED FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.948.513/0001-15,32.948.513/0001-15,LANA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.948.569/0001-70,32.948.569/0001-70,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS INVESTMAX - CONSIGNADO FEDERAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.948.668/0001-51,32.948.668/0001-51,G5 CRÉDITOS CONDOMINIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.969.429/0001-88,32.969.429/0001-88,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.969.429/0001-88,32.969.429/0001-88,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SANTA CRUZ CAPITAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.969.493/0001-69,32.969.493/0001-69,LIBER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.969.535/0001-61,32.969.535/0001-61,GALAPAGOS NIGRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS., ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.969.565/0001-78,32.969.565/0001-78,WIMO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.990.730/0001-73,32.990.730/0001-73,C+ VALORA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.990.792/0001-85,32.990.792/0001-85,HADES CREDIT OPPORTUNITIES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.990.813/0001-62,32.990.813/0001-62,WK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,32.999.089/0001-38,32.999.089/0001-38,STRUCTURE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,33.003.417/0001-67,33.003.417/0001-67,VASTA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,33.019.220/0001-16,33.019.220/0001-16,GENESIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,33.289.359/0001-80,33.289.359/0001-80,NOVA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,33.499.726/0001-70,33.499.726/0001-70,BRISTOL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,33.554.808/0001-70,33.554.808/0001-70,FBM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,33.588.243/0001-41,33.588.243/0001-41,SIZE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,33.823.914/0001-01,33.823.914/0001-01,CROWN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,34.027.522/0001-07,34.027.522/0001-07,BANSULCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,34.027.549/0001-91,34.027.549/0001-91,SMARTCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,34.082.112/0001-50,34.082.112/0001-50,NOBEL FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,34.521.809/0001-80,34.521.809/0001-80,SRM EXODUS PME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,34.691.362/0001-98,34.691.362/0001-98,ZEUS NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,34.850.033/0001-42,34.850.033/0001-42,AGROCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.138.000/0001-37,35.138.000/0001-37,CONTAÍ FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.580.989/0001-34,35.580.989/0001-34,BANFITA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.581.045/0001-81,35.581.045/0001-81,SEEDS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.581.308/0001-52,35.581.308/0001-52,MARILIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.654.776/0001-00,35.654.776/0001-00,PANTANAL DO BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.654.910/0001-72,35.654.910/0001-72,SPINET ACELERADOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.654.917/0001-94,35.654.917/0001-94,MS OPEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.655.989/0001-56,35.655.989/0001-56,FLOREANA FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.975.173/0001-00,35.975.173/0001-00,AZURE BLC V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.975.173/0001-00,35.975.173/0001-00,AZURE BLC V FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,35.982.683/0001-04,35.982.683/0001-04,GPR FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,36.232.996/0001-08,36.232.996/0001-08,OXYGEN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,36.334.968/0001-00,36.334.968/0001-00,POSITANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,36.334.968/0001-00,36.334.968/0001-00,POSITANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,36.359.698/0001-83,36.359.698/0001-83,U.NIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,36.500.339/0001-02,36.500.339/0001-02,BMA INTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,36.553.528/0001-35,36.553.528/0001-35,BANCRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,36.703.167/0001-66,36.703.167/0001-66,YAALEH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,36.953.080/0001-47,36.953.080/0001-47,ENDURANCE INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.035.910/0001-10,37.035.910/0001-10,AG LIFE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.035.913/0001-53,37.035.913/0001-53,RECARGAPAY FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS EMPRÉSTIMOS I, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.035.970/0001-32,37.035.970/0001-32,CD BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.036.039/0001-79,37.036.039/0001-79,GREEN LIFE ESG FUNDO DE INVESTIMENTO EM  DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.036.208/0001-70,37.036.208/0001-70,UNIQUE PRIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.036.353/0001-51,37.036.353/0001-51,REC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.036.410/0001-00,37.036.410/0001-00,PRECATÓRIO OURO 35 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.053.227/0001-05,37.053.227/0001-05,G5 STAR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.284.201/0001-78,37.284.201/0001-78,ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.298.599/0001-00,37.298.599/0001-00,QUARTER PRECATÓRIOS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.310.965/0001-90,37.310.965/0001-90,G5 SANEAMENTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.529.228/0001-83,37.529.228/0001-83,ACTIUM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.622.704/0001-06,37.622.704/0001-06,ONE7 MAIS CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,37.651.102/0001-87,37.651.102/0001-87,BARCELONA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,38.168.015/0001-36,38.168.015/0001-36,AVANTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,38.195.107/0001-05,38.195.107/0001-05,EXITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,38.421.626/0001-44,38.421.626/0001-44,CRONOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,38.440.284/0001-00,38.440.284/0001-00,CANAL 75 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,38.447.838/0001-09,38.447.838/0001-09,PHENIX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.256.163/0001-75,39.256.163/0001-75,WIMO CAR EQUITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.270.085/0001-63,39.270.085/0001-63,PHD FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.273.409/0001-17,39.273.409/0001-17,GALAPAGOS VENTURE DEBT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.380.171/0001-29,39.380.171/0001-29,STARTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.469.320/0001-20,39.469.320/0001-20,VOLCANO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.615.917/0001-36,39.615.917/0001-36,PCS II CLAIMS FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.617.894/0001-07,39.617.894/0001-07,CANAL 78 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.663.988/0001-04,39.663.988/0001-04,SPARK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.664.088/0001-81,39.664.088/0001-81,MS MULTI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.680.495/0001-82,39.680.495/0001-82,SOLAR VIALOC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.703.077/0001-63,39.703.077/0001-63,QANTIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.722.215/0001-51,39.722.215/0001-51,FIRMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS  PADRONIZADOS I, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.769.038/0001-69,39.769.038/0001-69,PHD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.769.157/0001-11,39.769.157/0001-11,TUPER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.769.235/0001-88,39.769.235/0001-88,CUPERTINO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.794.865/0001-02,39.794.865/0001-02,APTA INVEST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,39.863.075/0001-31,39.863.075/0001-31,FINANZA PRIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.009.750/0001-49,40.009.750/0001-49,GOLDEN STONE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.155.056/0001-30,40.155.056/0001-30,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TERA PERFORMANCE MULTISSETORIAL LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.187.050/0001-44,40.187.050/0001-44,PIRASSUNUNGA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.211.664/0001-14,40.211.664/0001-14,CONDOBEM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.211.693/0001-86,40.211.693/0001-86,CERES CPR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.226.165/0001-09,40.226.165/0001-09,VAIL PRECATÓRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.226.175/0001-36,40.226.175/0001-36,VSI 123QRED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.226.200/0001-81,40.226.200/0001-81,BARU GRIFFIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.265.630/0001-02,40.265.630/0001-02,ANTECIPATECH FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.265.649/0001-59,40.265.649/0001-59,BPD CONSIGNADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.366.250/0001-64,40.366.250/0001-64,LUSITANO FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.617.721/0001-60,40.617.721/0001-60,MONTENEGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.634.940/0001-57,40.634.940/0001-57,CANAL 86 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.669.040/0001-45,40.669.040/0001-45,CANAL 87 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.727.523/0001-59,40.727.523/0001-59,FOUR CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.733.257/0001-77,40.733.257/0001-77,WBR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.753.151/0001-35,40.753.151/0001-35,JP CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.782.833/0001-76,40.782.833/0001-76,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS GO KENERSON, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.800.541/0001-19,40.800.541/0001-19,ALGARVE SMALL  CLAIMS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,40.802.124/0001-05,40.802.124/0001-05,GUARDIAN FUNDO DE  INVESTIMENTO EM DIREITOS CREDITÓRIOS, ,,,
